SMT,Test Volume,Inaccuracy,Imprecision
SMT1,10000,0.01111,-0.08168
SMT1,5000,0.04616,-0.17723
SMT1,1000,0.1416,1.71886
SMT2,5000,0.04726,0.47911
SMT2,2500,0.074,-0.43738
SMT2,500,0.23824,-3.83164
SMT3,1000,0.02585,0.44279
SMT3,500,0.05074,-0.23978
SMT3,100,0.30265,-1.68038
SMT4,300,0.08021,0.66443
SMT4,150,0.12147,-1.00021
SMT4,30,2.82982,-7.48487
SMT5,200,0.13686,0.44038
SMT5,100,0.28663,-0.16354
SMT5,20,4.27017,-4.9267
SMT6,100,0.0802,1.39142
SMT6,50,0.36561,0.18756
SMT6,10,10.28061,-2.6896
SMT7,20,1.03137,-5.1073
SMT7,10,3.05676,-9.1502
SMT7,2,0.0,-100.0
SMT8,10,1.4496,-11.9992
SMT8,5,0.0,-100.0
SMT8,1,0.0,-100.0
